,structure,estimated frequency
0,_,0.04968284878
1,[],0.36941653816
2,[][],0.0813393973
3,[[]_],0.07155968922
4,[_[]],0.07212901556
5,[_[]_],0.24468765408
6,[][][],8.65616e-05
7,[[][]],0.00023341476
8,[_[]][],0.00203048462
9,[][_[]],0.00207693484
10,[[]_][],0.00202950248
11,[][[]_],0.00202213072
12,[[_[]]_],0.00419156464
13,[][[][]],1.42e-09
14,[_[_[]]],0.0051518262
15,[[][]][],1.66e-09
16,[[][][]],4.52e-09
17,[][_[]_],0.00362506824
18,[_[[]_]],0.00417114538
19,[][][][],0.0
20,[[[]_]_],0.00508678974
21,[_[]_][],0.00351369862
22,[[[]_][]],4.1712e-07
23,[_[_[]]_],0.01179528914
24,[][][[]_],4.094e-08
25,[][][_[]],3.79e-08
26,[[][_[]]],4.3124e-07
27,[_[_[]_]],0.01181307798
28,[][_[]][],3.524e-08
29,[][[]_][],4.004e-08
30,[_[[]_]_],0.01164892736
31,[_[]][][],3.922e-08
32,[[][[]_]],4.2214e-07
33,[[]_][][],3.69e-08
34,[[_[]_]_],0.01177283416
35,[_[[][]]],4.7556e-07
36,[[_[]][]],4.1398e-07
37,[[[][]]_],4.9928e-07
38,[_[]_][][],2.122e-08
39,[[]_][_[]],8.82792e-06
40,[[[]_]_][],7.0313e-06
41,[[]_][[]_],8.7349e-06
42,[_[[][]]_],4.6872e-07
43,[][[[]_]_],7.03278e-06
44,[[][_[]_]],4.0664e-07
45,[_[[]_]][],5.76382e-06
46,[[_[]]_][],5.69444e-06
47,[[[][]][]],0.0
48,[_[]][[]_],9.12662e-06
49,[_[]][_[]],9.2599e-06
50,[][_[_[]]],7.60184e-06
51,[_[_[]_]_],0.02615251164
52,[][[_[]]_],6.15706e-06
53,[][_[]_][],1.984e-08
54,[[_[]_][]],4.0544e-07
55,[][][_[]_],2.912e-08
56,[[][[][]]],0.0
57,[_[_[]]][],6.99498e-06
58,[][_[[]_]],6.23666e-06
59,[_[_[]_]][],7.20276e-06
60,[[_[]][][]],0.0
61,[[[][][]]_],0.0
62,[[][][[]_]],0.0
63,[[]_][_[]_],9.88862e-06
64,[_[_[]]_][],6.70188e-06
65,[[_[]_]_][],7.15788e-06
66,[_[[_[]]_]],5.991776e-05
67,[_[[[]_]_]],7.226834e-05
68,[][[][[]_]],0.0
69,[_[[]_]_][],6.89196e-06
70,[[[_[]]_]_],7.1823e-05
71,[][_[[]_]_],7.5068e-06
72,[_[]][_[]_],1.01229e-05
73,[_[[][][]]],0.0
74,[_[[][]]][],0.0
75,[][_[_[]]_],7.58562e-06
76,[][_[_[]_]],8.01576e-06
77,[][[_[]][]],0.0
78,[][[_[]_]_],7.49602e-06
79,[[][_[]][]],0.0
80,[[[]_][]][],0.0
81,[[_[[]_]]_],5.849972e-05
82,[[][]][[]_],0.0
83,[[][]][_[]],0.0
84,[[_[]][]][],0.0
85,[_[]_][_[]],9.8733e-06
86,[[][[]_][]],0.0
87,[_[]][[][]],0.0
88,[[_[_[]]]_],7.3159e-05
89,[[]_][[][]],0.0
90,[_[_[[]_]]],7.257656e-05
91,[][[[]_][]],0.0
92,[][_[[][]]],0.0
93,[_[_[_[]]]],9.586942e-05
94,[_[]_][[]_],9.46102e-06
95,[][[[][]]_],0.0
96,[[][_[]]][],0.0
97,[[[][]]_][],0.0
98,[[[]_][][]],0.0
99,[[[[]_]_]_],9.39446e-05
100,[][[][_[]]],0.0
101,[[][[]_]][],0.0
102,[[][][_[]]],0.0
103,[[[_[]_]_]_],0.00014450804
104,[[[][[]_]]_],1.2e-10
105,[[_[_[]]][]],4e-11
106,[[_[[]_]_]_],0.00013074462
107,[[][_[_[]]]],1.6e-10
108,[_[[[]_][]]],4e-11
109,[[_[[][]]]_],2e-11
110,[[[[]_][]]_],0.0
111,[_[_[_[]_]]],0.00014637254
112,[[_[[]_]][]],0.0
113,[_[[_[]][]]],8e-11
114,[[[_[]][]]_],0.0
115,[_[[[]_]_]_],0.0001432689
116,[_[[_[]]_]_],0.00011350092
117,[[[][_[]]]_],2e-11
118,[_[]_][_[]_],9.79772e-06
119,[[[_[]]_][]],2e-10
120,[_[_[_[]]_]],0.00013375574
121,[[[]_][[]_]],0.0
122,[_[[][[]_]]],2e-11
123,[[_[]][[]_]],0.0
124,[[][_[[]_]]],0.0
125,[[[[]_]_][]],6e-11
126,[[_[_[]]_]_],0.00012866426
127,[[_[]][_[]]],2e-11
128,[_[[[][]]_]],0.0
129,[[][[[]_]_]],4e-11
130,[_[[][_[]]]],4e-11
131,[[][[_[]]_]],0.0
132,[_[_[[][]]]],0.0
133,[_[[_[]_]_]],0.00011550582
134,[_[_[]_]_][],5.95346e-06
135,[_[_[[]_]_]],0.00012627616
136,[_[_[_[]]]_],0.00014499178
137,[[[[][]]_]_],4e-11
138,[][_[_[]_]_],7.18882e-06
139,[_[_[[]_]]_],0.000112719
140,[[_[_[]_]]_],0.00011512584
141,[[[]_][_[]]],4e-11
142,[_[[][[]_]]_],0.0
143,[_[_[[][]]_]],0.0
144,[_[_[[][]]]_],0.0
145,[_[[_[]]_]][],7.2e-10
146,[[][_[_[]_]]],0.0
147,[_[[][_[]]]_],0.0
148,[_[[[]_][]]_],0.0
149,[][_[[_[]]_]],5.8e-10
150,[][[_[[]_]]_],8.2e-10
151,[[_[_[]]]_][],4e-10
152,[[[[]_]_]_][],3.4e-10
153,[_[_[[]_]]][],3e-10
154,[[_[[]_]_][]],0.0
155,[[[]_]_][[]_],8.2e-10
156,[[]_][_[_[]]],7.6e-10
157,[_[_[_[]_]]_],0.00020446158
158,[[_[[]_]]_][],2.4e-10
159,[[_[_[]_]_]_],0.0001907593
160,[_[[_[]_][]]],2e-11
161,[[[_[]]_]_][],4.6e-10
162,[[][[_[]_]_]],0.0
163,[_[[[][]]_]_],0.0
164,[[[_[]_][]]_],2e-11
165,[[[]_]_][_[]],5.4e-10
166,[[_[]_][[]_]],2e-11
167,[][[[_[]]_]_],3.8e-10
168,[[_[[][]]_]_],2e-11
169,[[[]_][_[]_]],0.0
170,[_[[[]_]_]][],4.8e-10
171,[[]_][[[]_]_],9.4e-10
172,[[_[_[]_]][]],0.0
173,[_[]][_[_[]]],1.16e-09
174,[[]_][[_[]]_],4.4e-10
175,[][[[[]_]_]_],5.6e-10
176,[][_[_[_[]]]],4.2e-10
177,[_[_[[]_]_]_],0.00018600744
178,[[_[]]_][_[]],5.8e-10
179,[[]_][_[[]_]],2.8e-10
180,[_[[][_[]_]]],0.0
181,[[_[_[]]_][]],2e-11
182,[[_[]][_[]_]],0.0
183,[_[_[_[]_]_]],0.00019106844
184,[_[[_[]_]_]_],0.00020378092
185,[_[[]_]][_[]],4.8e-10
186,[_[]][_[[]_]],1.3e-09
187,[[][_[[]_]_]],0.0
188,[_[]][[[]_]_],5e-10
189,[[[][_[]_]]_],0.0
190,[[_[]]_][[]_],8.2e-10
191,[_[[]_]][[]_],5.4e-10
192,[[[_[]_]_][]],0.0
193,[_[_[_[]]_]_],0.00018909354
194,[_[[_[]][]]_],2e-11
195,[][_[[[]_]_]],5.4e-10
196,[][_[_[[]_]]],5.8e-10
197,[[][_[_[]]_]],0.0
198,[_[_[]]][_[]],2.26e-09
199,[[_[]_][_[]]],2e-11
200,[][[_[_[]]]_],3.4e-10
201,[_[]][[_[]]_],4.8e-10
202,[_[_[]]][[]_],1e-09
203,[_[_[_[]]]][],7.8e-10
204,[[_[_[[]_]]]_],1.1728e-07
205,[[[_[[]_]]_]_],1.1074e-07
206,[_[[_[]]_]_][],4e-11
207,[_[[_[]_]_]][],1e-10
208,[[_[[_[]]_]]_],7.742e-08
209,[_[]_][_[[]_]],1e-10
210,[_[[[]_]_]_][],2e-11
211,[[[_[]_]_]_][],1e-10
212,[_[]_][[[]_]_],4.8e-10
213,[_[_[_[]]_]][],4e-11
214,[][_[[_[]]_]_],1.2e-10
215,[][_[_[_[]]_]],2e-11
216,[][[[_[]_]_]_],1e-10
217,[_[[[[]_]_]_]],1.263e-07
218,[][[_[_[]_]]_],1.2e-10
219,[[_[_[]]_]_][],4e-11
220,[_[_[[[]_]_]]],1.35e-07
221,[[[]_]_][_[]_],1.4e-10
222,[_[_[[][]]_]_],0.0
223,[[_[_[_[]]]]_],1.4534e-07
224,[_[[[_[]]_]_]],1.111e-07
225,[][_[[_[]_]_]],6e-11
226,[_[]_][[_[]]_],3.4e-10
227,[[]_][_[[]_]_],8e-11
228,[][_[_[[]_]_]],1.4e-10
229,[[_[]_]_][_[]],6e-11
230,[[_[[[]_]_]]_],1.1806e-07
231,[_[[]_]][_[]_],8e-11
232,[_[_[_[[]_]]]],1.3946e-07
233,[_[_[_[]_]_]_],0.00024330942
234,[[[[[]_]_]_]_],1.7632e-07
