,structure,estimated frequency
0,_,0.04966760609100524
1,[],0.36946411550450986
2,[][],0.08135323082505891
3,[[]_],0.07153372640380126
4,[_[]],0.07214341609393787
5,[_[]_],0.24466339698514294
6,[][][],8.613469649334718e-05
7,[[][]],0.00023278243165544897
8,[_[]][],0.0020201862678708832
9,[][_[]],0.0020774689399662457
10,[[]_][],0.0020237720612454897
11,[][[]_],0.002023562260760938
12,[[_[]]_],0.004187072748672077
13,[][[][]],1.5061987327132227e-09
14,[_[_[]]],0.0051566844967410675
15,[[][]][],1.5379141712586658e-09
16,[[][][]],4.688750713249527e-09
17,[][_[]_],0.0036300542358319926
18,[_[[]_]],0.004171301699439427
19,[][][][],1.2039344690485925e-11
20,[[[]_]_],0.005080662152868592
21,[_[]_][],0.003506932464394067
22,[[[]_][]],4.090897621198778e-07
23,[_[_[]]_],0.011819279836763093
24,[][][[]_],4.1337354378174147e-08
25,[][][_[]],3.9457853673570424e-08
26,[[][_[]]],4.356184465695376e-07
27,[_[_[]_]],0.011806739770146282
28,[][_[]][],3.2933805141226104e-08
29,[][[]_][],3.1088672600670817e-08
30,[_[[]_]_],0.011653053119799818
31,[_[]][][],4.2267253725039916e-08
32,[[][[]_]],4.19758191833131e-07
33,[[]_][][],3.5915681433092806e-08
34,[[_[]_]_],0.011774326611832931
35,[_[[][]]],4.64726091112023e-07
36,[[_[]][]],4.45115203253059e-07
37,[[[][]]_],4.7053900278890034e-07
38,[_[]_][][],2.263593519481501e-08
39,[[]_][_[]],8.67378214616299e-06
40,[[[]_]_][],7.070809753914212e-06
41,[[]_][[]_],8.724193400649919e-06
42,[_[[][]]_],4.622897454296414e-07
43,[][[[]_]_],7.10460462111028e-06
44,[[][_[]_]],3.9219932857081553e-07
45,[_[[]_]][],5.835728851178967e-06
46,[[_[]]_][],5.940018355075593e-06
47,[[[][]][]],0.0
48,[_[]][[]_],8.838826451581113e-06
49,[_[]][_[]],9.010976997853201e-06
50,[][_[_[]]],7.687465167302004e-06
51,[_[_[]_]_],0.026140352013764443
52,[][[_[]]_],6.191684494224224e-06
53,[][_[]_][],2.0963801036330624e-08
54,[[_[]_][]],4.045659860086243e-07
