,structure,phenotype robustness
0,[_[]][_[]],0.15909449549800425
1,[_[[_[_[]_]]_]],0.0
2,[][][_[]],0.0
3,[[[[[]_]_]_]_],0.005555555555555556
4,[_[_[_[]_]]],0.10975981677679048
5,[[][[]_]],0.0006944444444444445
6,[_[_[]]_],0.21582357530529997
7,[_[]][][],0.0
8,[_[_[_[_[]_]_]]_],0.0031746031746031746
9,[][[_[]]_],0.0164050822122571
10,[_[_[[_[]]_]]],0.011666666666666667
11,[_[_[[_[]_]_]_]_],0.011111111111111112
12,[_[_[]_]_][],0.053584229390681
13,[_[_[_[]_]_]_],0.1275549593578484
14,[[_[]_][]],0.0
15,[[_[_[]]]_],0.08051947996810742
16,[][_[_[]_]],0.014582295299784089
17,[[[_[_[]]_]_]_],0.0
18,[_[_[_[_[]]]]_],0.011111111111111112
19,[][][_[]_],0.0
20,[[_[_[]]_]_],0.08551354737026066
21,[[][_[]]],0.0031746031746031746
22,[_[_[[]_]_]_],0.14195969118146484
23,[[_[[]_]_]_],0.12093770528769193
24,[[_[[_[]]_]_]_],0.0
25,[][_[]_],0.15948942581386208
26,[_[_[_[_[]]]_]],0.0
27,[[[]_]_][],0.10302034428794993
28,[[_[_[[]_]]]_],0.0
29,[[_[]]_],0.1540629770235929
30,[_[_[_[]]]_],0.09538602668995104
31,[[[_[_[]]]_]_],0.0
32,[[_[_[_[]_]]_]_],0.011851851851851853
33,[_[[]_]],0.16438277384886657
34,[_[[]_]_][],0.09027098946453785
35,[[_[_[[]_]]_]_],0.0
36,[_[]_][_[]],0.01674074074074074
37,[_[_[[_[]_]_]_]],0.0
38,[[[_[[]_]_]_]_],0.03136200716845878
39,[_[_[]]_][],0.03061665726640346
40,[_[[][]]_],0.0
41,[_[[_[[]_]]_]_],0.0
42,[_[]],0.3144585262248381
43,[[_[_[_[]]_]_]_],0.0
44,[[_[_[_[]_]]]_],0.0
45,[[[]_][]],0.003418803418803419
46,[][_[[]_]_],0.013469917881682586
47,[_[_[]_]][],0.025957977207977205
48,[[_[]_]_],0.21640682344082787
49,[_[[_[_[]_]]_]_],0.0
50,[_[_[_[_[]]_]]],0.0
51,[_[[_[]_]_]],0.08917816463492935
52,[][[]_][],0.005555555555555556
53,[],0.5573279770054987
54,[][[_[]_]_],0.061520282186948855
55,[_[[[_[]_]_]_]_],0.007936507936507938
56,[_[[[]_]_]_],0.10016879872295137
57,[_[_[]_]_],0.2625436790402018
58,[_[_[_[]]_]_],0.09068628489128833
59,[_[_[[]_]_]],0.10302622825985312
60,[_[_[_[[]_]_]]_],0.005555555555555556
61,[[]_][][],0.0
62,[[[][]]_],0.0
63,[[]_][],0.13702649707710143
64,[[[_[_[]_]]_]_],0.003703703703703704
65,[][[[]_]_],0.04085326646090535
66,[][_[_[]]],0.011473973973973975
67,[[][_[]_]],0.0
68,[_[_[_[_[]]]]],0.018803418803418803
69,[_[[[]_]_]],0.08945741508491509
70,[_[_[_[]_]_]],0.10405117638724277
71,[[]_],0.3145379879018126
72,[_[[_[]]_]],0.0529379245376568
73,[][_[_[]_]_],0.049748000841750836
74,[][[]_],0.1338175822923635
75,[[_[]]_][],0.0056655665566556655
76,[[][]],0.04139269546385176
77,[_[_[]]][],0.010997554157931516
78,[_[[[_[]_]_]_]],0.0
79,[_[_[]]],0.18490024894255805
80,[[]_][_[]],0.08271206690561529
81,[_[[][]]],0.0008230452674897119
82,[_[]_][],0.1640761050451602
83,[[]_][_[]_],0.06090580704160951
84,[_[_[[[]_]_]]],0.0
85,[_[_[_[[]_]]]_],0.011111111111111112
86,[_[]][],0.13617433902871595
87,[[_[_[_[]]]_]_],0.0
88,[[_[[_[]_]_]_]_],0.0
89,[[[[]_]_]_],0.10830671605159736
90,[][_[[]_]],0.02033976124885216
91,[_[[_[_[]]]_]],0.0
92,[[_[_[]_]]_],0.07221006085236477
93,[_[]_],0.46288634158701275
94,[_[]_][_[]_],0.05446746181209458
95,_,0.3400534594758139
96,[[_[_[_[]]]]_],0.0
97,[_[[_[[]_]_]_]],0.0
98,[][_[]][],0.0015873015873015873
99,[][][],0.034367408247163146
100,[[[_[]]_]_],0.09260603658816752
101,[_[[[_[]]_]_]],0.0
