,structure,phenotype robustness
0,[_[[_[[]_]]_]],0.2
1,[[]_][_[]_],0.1444444444444444
2,[[[]_]_],0.4039528357886784
3,[_[]][],0.3995164960182025
4,[_[_[[]_]_]_],0.28712288447387785
5,[[]_][[]_],0.2666666666666666
6,[_[[[]_]_]],0.2547979797979798
7,[_[_[]_]_],0.4447340247416651
8,[_[[_[]_]_]],0.2884990253411306
9,[_[_[_[]]_]],0.29008363201911586
10,[][_[]_],0.39031019349690804
11,[_[_[_[]_]_]_],0.2888888888888888
12,[[[]_]_][],0.3111111111111111
13,[_[_[]]_][],0.1666666666666666
14,[_[[]_]_],0.42417886012483375
15,[_[]],0.528541842934838
16,[_[_[_[]]_]_],0.301199040767386
17,[][[]_],0.3852252252252252
18,[[]_][],0.39078093118159896
19,[[_[_[]]_]_],0.2824836601307189
20,[_[]_][],0.39406865732277063
21,[_[]][[]_],0.2777777777777778
22,[_[_[]]_],0.42236987818383165
23,[[_[[]_]_]_],0.3002496878901373
24,[[]_][_[]],0.2305555555555555
25,[_[_[[]_]]_],0.2961904761904762
26,[_[[_[]]_]_],0.29051851851851845
27,[][_[[]_]_],0.2333333333333333
28,[[_[]_]_],0.4245377642801457
29,[[[_[]]_]_],0.29661835748792276
30,[_[_[]_]][],0.2333333333333333
31,[_[_[_[_[]]]_]],0.2222222222222222
32,[][][],0.33777777777777773
33,[_[_[_[]_]]],0.29851851851851846
34,[[_[[]_]]_],0.29810298102981025
35,[_[_[_[]_]_]],0.30713760117733624
36,[][[[]_]_],0.2277777777777777
37,[[[[]_]_]_],0.2852459016393442
38,[_[_[[]_]]],0.28114478114478114
39,[[_[_[]_]_]_],0.2909961685823753
40,[[_[]_]_][],0.275
41,[][_[]],0.38552605703048176
42,[[[[_[]_]_]_]_],0.2111111111111111
43,[][[_[]_]_],0.21666666666666662
44,[_[_[]]],0.4046646454975799
45,[_[_[]_]],0.4244196438545925
46,_,0.6637367969245699
47,[_[[[]_]_]_],0.2972520908004778
48,[_[_[_[]]]],0.2985714285714285
49,[_[]_][_[]_],0.22777777777777775
50,[_[[_[]_]_]_],0.28807407407407404
51,[][[_[]]_],0.23888888888888885
52,[[_[_[]]]_],0.2865633074935401
53,[_[[_[]]_]],0.29660493827160495
54,[[_[_[]_]]_],0.28839137645107793
55,[[]_],0.5293684421367271
56,[_[]_],0.6385533716076378
57,[_[]_][[]_],0.24999999999999994
58,[][_[_[]]],0.23333333333333328
59,[],0.7493396421762654
60,[_[[]_]],0.3968165204678362
61,[][_[[]_]],0.23888888888888887
62,[_[]][_[]],0.24920634920634915
63,[[_[]]_],0.3934159014876504
64,[_[_[_[]_]]_],0.29251074278698586
65,[_[]][_[]_],0.2722222222222222
66,[_[]_][_[]],0.1911111111111111
67,[_[_[]]][],0.2296296296296296
68,[_[[]_]_][],0.28518518518518515
69,[][],0.5809160192378838
70,[_[_[[]_]_]],0.28567251461988297
71,[[[_[]_]_]_],0.29955555555555546
72,[][_[_[]_]_],0.21111111111111108
73,[][_[_[]]_],0.34444444444444444
74,[_[_[_[]]]_],0.2917562724014336
75,[_[[]_]][],0.26666666666666666
76,[][_[_[]_]],0.21851851851851847
77,[[][]],0.27323232323232327
